N,F0,PER,d0,v0,collision,attack
8,-6,0.8,6.778,37,1,0
9,-2,0.26,9.586,60,1,1
6,-3,0.4,4.371,68,0,0
9,-2,0.16,4.305,35,0,0
9,-1,0.39,10.352,49,1,1
3,0,0.87,7.726,85,1,1
6,-1,0.75,6.407,59,1,1
10,-6,0.09,8.080999,43,1,1
7,1,0.99,8.482,18,1,1
4,-6,0.12,7.516,64,0,0
7,-2,0.5,6.656,39,0,0
10,-3,0.44,7.364,21,1,1
6,-4,0.45,4.142,17,0,0
6,-3,0.17,6.405,50,0,0
6,-1,0.79,9.534,85,1,1
5,-2,0.76,5.288,53,0,0
8,-8,0.52,8.577,67,1,0
8,-1,0.41,7.813,68,0,1
10,-2,0.91,8.08,73,1,0
8,-5,0.14,6.547,56,0,0
4,-4,0.7,4.06,85,1,0
5,-4,0.76,6.413,46,0,0
9,-6,0.13,6.712,64,1,1
8,-3,0.35,9.403,69,0,1
10,-4,0.09,6.222,86,1,0
5,-6,0.53,8.275,69,0,1
9,0,0.76,10.124,14,0,1
9,-4,0.02,6.9,71,0,1
8,-8,0.92,4.2,86,1,0
8,-3,0.94,9.646,58,1,1
6,-2,0.81,8.785999,17,0,1
10,-2,0.82,5.706,60,1,0
4,-4,0.13,4.678,21,0,1
7,-5,0.61,6.6,57,1,1
9,-2,0.66,9.193,58,1,1
6,-6,0.79,8.489,56,1,1
3,-4,0.24,6.488,45,0,0
4,-6,0.12,8.969,53,0,0
3,-3,0.0,8.065,54,0,0
4,-6,0.65,6.312,82,1,1
5,-2,0.93,6.153,75,1,1
10,0,0.75,10.771,53,1,1
4,-4,0.86,10.526,81,1,1
6,-6,0.26,6.168,22,0,0
8,-4,0.35,6.198,65,0,0
3,-4,0.03,4.492,37,0,1
9,-2,0.78,8.214001,37,1,1
10,0,0.16,7.718,62,1,1
6,-2,0.8,5.807,29,0,0
8,-3,0.17,8.187,11,0,0
3,-5,0.68,8.815,44,0,0
8,-7,0.41,4.796,10,0,0
7,-6,0.1,10.762,30,0,1
9,-6,0.73,7.238,19,1,1
4,-4,0.89,7.905,13,0,1
6,-3,0.68,8.66,84,1,1
5,-3,0.94,9.058001,58,1,1
7,-1,0.01,7.197,10,0,1
10,-5,0.27,10.609,16,0,1
6,-8,0.51,7.899,38,0,0
7,-7,0.91,7.519,28,1,0
6,-6,0.73,7.453,33,1,1
9,-4,0.17,5.747,61,1,0
8,-6,0.65,6.997,64,1,0
9,-2,0.68,10.731,30,1,1
9,-2,0.27,10.72,52,1,1
9,-5,0.3,9.01,79,1,1
3,-4,0.7,6.08,19,0,0
8,-5,0.65,5.113,73,1,0
7,-6,0.81,6.5,19,1,0
7,-3,0.87,9.912001,40,1,1
10,0,0.39,9.346001,16,1,1
9,-4,0.9,5.113,64,1,0
6,-1,0.55,10.45,84,0,1
5,-3,0.45,7.393,19,0,0
7,-6,0.56,6.908,33,0,0
6,-4,0.06,9.128,55,0,1
8,-2,0.15,6.223,49,0,0
10,-3,0.47,8.0060005,23,1,1
4,-5,0.17,4.777,51,0,0
9,-5,0.82,8.431,83,1,0
7,-8,0.68,8.542,75,1,0
7,-2,0.11,6.909,15,0,1
7,-2,0.83,10.28,16,1,1
10,-1,0.54,8.382999,32,1,1
10,-5,0.89,7.398,52,1,1
9,-6,0.73,9.702,54,1,1
10,-6,0.47,10.97,22,1,1
10,-3,0.57,6.108,21,1,0
9,0,0.57,8.1779995,52,1,1
5,-5,0.86,6.383,67,1,1
7,-2,0.71,4.669,43,0,0
8,0,0.86,10.022,60,1,1
10,-4,0.71,6.359,84,1,1
6,-2,0.34,8.364,49,0,0
9,-4,0.01,8.68,42,0,1
3,-1,0.42,6.192,22,0,0
10,-8,0.71,4.158,39,1,0
8,0,0.75,6.363,59,1,1
5,-6,0.06,7.902,30,0,0
10,-4,0.38,10.136,10,1,1
7,-6,0.9,8.25,14,1,1
9,-3,0.89,6.177,81,1,1
9,-6,0.79,8.975,16,1,1
8,-8,0.26,6.665,21,0,0
8,0,0.72,6.873,89,1,1
