N,F0,PER,d0,v0,collision,attack
4,-2,0.44,5.857,82,1,1
4,-6,0.15,5.42,58,1,1
8,-2,0.76,6.401,68,0,1
3,-8,0.85,7.772,12,0,0
6,-1,0.4,7.432,77,0,0
8,-8,0.54,5.337,80,0,1
6,-6,0.75,4.629,70,0,1
10,-3,0.91,5.018,47,1,0
3,-4,0.29,5.136,21,0,1
4,-7,0.16,7.721,24,0,0
8,-2,0.18,6.871,26,1,1
3,-7,0.08,5.139,64,0,0
8,-2,0.97,8.251,66,1,0
6,-6,0.43,8.337,39,0,1
2,-2,0.9,7.218,44,0,1
6,-8,0.51,7.899,38,0,0
6,-6,0.55,8.077,79,1,0
4,-8,0.53,7.402,32,0,0
6,-6,0.2,8.135,82,1,1
4,-4,0.25,7.568,23,0,0
10,-4,0.07,6.458,79,1,0
6,-7,0.75,6.478,80,1,0
8,-4,0.57,4.843,40,0,1
8,-4,0.65999997,5.997,48,0,1
10,-2,0.28,7.874,86,1,1
6,-8,0.29000002,6.989,56,1,1
7,-3,0.02,4.219,46,0,0
6,-1,0.47,7.18,37,0,1
8,-4,0.050000012,6.365,42,0,1
5,-5,0.9,4.465,80,1,0
3,-1,0.97,5.374,34,1,0
6,-3,0.09,6.426,29,0,0
4,-6,0.45,7.816,46,0,0
7,-5,0.4,4.154,67,0,0
4,-6,0.16000003,9.487,56,0,1
2,-4,0.95,5.706,46,0,1
5,-6,0.18,4.539,59,0,0
10,-2,0.45,8.489,62,1,1
6,-2,0.25,6.791,82,1,1
8,-6,0.64,8.433,42,0,1
6,-5,0.96,6.854,42,1,0
5,-3,0.26,8.128,22,0,0
9,-5,0.28,7.244,46,0,0
6,-3,0.93,5.542,80,1,0
4,-4,0.32,4.77,72,1,1
10,-7,0.5,4.228,51,1,0
6,-2,0.82,4.336,64,0,1
4,-6,0.76,7.859,72,0,1
8,-2,0.5,4.659,86,1,0
8,-2,0.100000024,7.116,34,0,1
6,-8,0.35000002,5.136,16,1,1
8,-4,0.76,5.896,70,0,1
7,-6,0.9,8.978,41,1,0
7,-6,0.82,4.671,14,1,0
3,-3,0.23,8.985,13,0,1
3,-8,0.78,5.05,24,0,0
8,-7,0.67,7.27,78,1,0
7,-5,0.42,7.209,33,0,0
10,-4,0.43,5.715,25,1,0
8,-6,0.110000014,8.545,46,0,1
10,-2,0.37,7.746,74,1,0
4,-7,0.51,8.751,70,0,0
10,-5,0.69,5.812,53,1,0
8,-2,0.42000002,5.841,66,1,1
2,-8,0.77,7.783,56,0,1
3,-3,0.13,6.683,10,0,1
8,-6,0.22000003,5.421,80,1,1
3,-2,0.78,7.867,68,1,0
5,-8,0.56,4.171,23,0,0
10,-4,0.78,4.604,81,1,0
3,-5,0.1,5.681,88,0,0
10,-4,0.17,5.951,64,1,0
10,-8,0.71,4.158,39,1,0
6,-4,0.44,8.794,22,1,1
4,-4,0.79,8.144,78,1,0
5,-5,0.36,5.303,28,0,0
5,-5,0.19,5.902,76,0,0
4,-2,0.42,8.858,21,0,0
4,-4,0.17000002,7.901,56,0,1
4,-3,0.14,6.579,58,0,0
2,-2,0.94,4.126,40,0,1
4,0,0.46,4.984,88,1,1
8,-4,0.75,6.903,76,0,1
10,-2,0.110000014,8.77,70,1,1
10,-2,0.23000002,7.652,36,1,1
10,-4,0.23000002,6.355,20,1,1
6,-6,0.97,3.541,68,1,1
8,-6,0.7,8.476,12,0,0
3,-6,0.47,7.839,85,0,0
3,-6,0.91,4.186,73,1,0
6,-8,0.23000002,5.953,32,1,1
6,-6,0.46,7.654,72,1,1
4,-1,0.3,8.279,54,0,0
7,-5,0.37,4.228,18,0,0
3,-6,0.66,4.002,68,0,0
8,-2,0.84,7.494,81,1,0
