N,F0,PER,d0,v0,collision,attack
9,-4,0.37,6.649,45,0,0
8,-5,0.33,4.289,25,0,0
4,-4,0.46,4.711,83,0,0
5,-5,0.15,5.708,21,0,1
10,-5,0.13,5.765,17,0,0
3,-7,0.39,6.851,29,0,0
6,-5,0.46,7.881,78,0,0
6,-3,0.4,4.371,68,0,0
4,-6,0.85,6.35,10,0,0
5,-4,0.25,5.96,36,0,0
3,-8,0.03,7.982,55,0,1
7,-5,0.9260273,4.7112103,46,0,1
5,-6,0.26,5.984,68,0,0
4,-4,0.30050755,6.280717,64,1,1
6,-7,0.7,5.251,79,1,0
3,-2,0.19,5.696,14,0,0
8,-6,0.20855045,7.663521,45,1,1
3,-7,0.88492584,8.702795,59,0,1
10,-3,0.4,4.344,77,1,1
8,-5,0.87472916,7.2524166,30,0,1
7,-5,0.8505335,5.366563,18,0,1
6,-6,0.6281338,6.8666325,16,1,1
8,-6,0.47,5.574,34,0,0
7,-8,0.9556465,7.2553473,36,0,1
5,-8,0.75346565,4.612295,50,0,1
10,-8,0.69,6.08,69,1,0
5,-6,0.8723936,5.7603226,25,0,1
4,-4,0.48,6.44,11,0,1
7,-3,0.66,4.027,64,1,0
6,-2,0.05,5.465,32,0,1
7,-8,0.35,5.779,33,0,0
5,-5,0.76866245,7.1872654,46,0,1
8,-3,0.7603016,5.614558,20,0,1
7,-2,0.68,4.583,78,1,0
4,-6,0.59700775,6.8408346,88,0,1
3,-3,0.7,5.044,71,0,0
3,-2,0.67,8.424,47,0,0
5,-1,0.75,8.772,64,0,0
3,-7,0.81,5.231,46,0,0
9,-5,0.012775421,5.603819,14,1,1
6,-7,0.60209846,7.752754,15,1,1
5,-4,0.05,4.857,35,0,1
6,-4,0.56064415,8.030262,33,1,1
5,-8,0.40626812,6.2838974,69,0,1
5,-2,0.8438587,7.048422,73,0,1
8,-8,0.72671604,4.56771,20,0,1
4,-3,0.43867493,5.6720486,85,1,1
5,-2,0.77,6.452,13,0,0
10,-3,0.02,8.661,35,0,0
8,-5,0.0,7.881,64,0,0
4,-6,0.354846,6.5998554,75,1,1
6,-6,0.32,4.385,21,0,0
10,-5,0.95,8.162,11,1,0
5,-5,0.93,7.183,19,1,0
10,-7,0.84,5.857,25,1,1
4,-4,0.40155602,6.676075,75,1,1
5,-8,0.0,8.927,55,0,0
6,-4,0.7628603,4.244605,70,1,1
6,-8,0.7389412,7.5346937,63,0,1
5,-7,0.06,7.435,53,0,1
8,-3,0.55712605,6.2297926,69,0,1
10,-8,0.38,8.34,28,1,0
5,-6,0.52,8.212,43,0,0
5,-4,0.97019863,6.4003305,12,0,1
3,-8,0.35,4.415,59,0,0
6,-2,0.34,8.364,49,0,0
